dataset_id,req_id,req_category,requirement_text,test_case_id,test_case_title,preconditions,test_steps,expected_results
NAV-TC-001,Req-01,Functional,"The navigation system shall calculate a route from a user-specified origin to a user-specified destination using the current road network data.",TC-01-01,Route calculation with valid origin/destination,"Map data loaded; GPS available; App on main screen","1) Enter origin A and destination B. 2) Tap 'Start' or 'Go'.","A route is calculated using current road network data; route displayed on map; guidance ready."
NAV-TC-002,Req-01,Functional,"The navigation system shall calculate a route from a user-specified origin to a user-specified destination using the current road network data.",TC-01-02,Route calculation with swapped inputs,"Map data loaded; GPS available","1) Enter destination first, then origin. 2) Request route calculation.","System correctly interprets origin/destination and calculates a route without errors."
NAV-TC-003,Req-01,Functional,"The navigation system shall calculate a route from a user-specified origin to a user-specified destination using the current road network data.",TC-01-03,Route calculation with coordinates,"Map data loaded; GPS available","1) Input origin coordinates and destination coordinates. 2) Request route.","System calculates a valid route between coordinate points using road network."
NAV-TC-004,Req-02,Functional,"The navigation system shall provide at least one alternative route when more than one feasible route exists.",TC-02-01,Alternative route offered in dense area,"Map data loaded; Area with multiple feasible routes","1) Set origin/destination with multiple known route options. 2) Calculate route.","System displays primary route and at least one alternative route option."
NAV-TC-005,Req-02,Functional,"The navigation system shall provide at least one alternative route when more than one feasible route exists.",TC-02-02,Alternative route selection updates guidance,"Route options shown","1) Select an alternative route from the list. 2) Start navigation.","Guidance follows the selected alternative route; map and maneuvers match selection."
NAV-TC-006,Req-02,Functional,"The navigation system shall provide at least one alternative route when more than one feasible route exists.",TC-02-03,No alternatives when only one feasible route,"Map data loaded; Remote area with only one feasible path","1) Calculate route where only one feasible route exists.","System does not invent alternatives; primary route only; no misleading options."
NAV-TC-007,Req-03,Functional,"The navigation system shall provide turn-by-turn guidance to the driver throughout the active route.",TC-03-01,Maneuver prompts appear throughout route,"Navigation active; Vehicle moving","1) Start route guidance. 2) Drive through at least 3 maneuvers.","System provides turn-by-turn instructions for each maneuver until arrival."
NAV-TC-008,Req-03,Functional,"The navigation system shall provide turn-by-turn guidance to the driver throughout the active route.",TC-03-02,Guidance includes distance-to-maneuver,"Navigation active","1) Drive toward next maneuver. 2) Observe instruction panel.","Instruction includes next action and distance/time to the maneuver."
NAV-TC-009,Req-03,Functional,"The navigation system shall provide turn-by-turn guidance to the driver throughout the active route.",TC-03-03,Guidance resumes after brief interruption,"Navigation active","1) Start guidance. 2) Switch to another screen/app briefly. 3) Return to navigation.","Guidance remains active and continues providing correct next maneuver."
NAV-TC-010,Req-04,Functional,"The navigation system shall continuously determine the vehicle’s current position while navigation is active.",TC-04-01,Position updates while moving,"Navigation active; GPS available","1) Start navigation. 2) Drive continuously for 2 minutes.","Vehicle position continues updating; location marker follows road progression."
NAV-TC-011,Req-04,Functional,"The navigation system shall continuously determine the vehicle’s current position while navigation is active.",TC-04-02,Position continuity through short GPS fluctuation,"Navigation active; Simulate brief GPS noise","1) Start navigation. 2) Introduce short signal fluctuation (<10s).","System continues position determination without freezing; may smooth but remains plausible."
NAV-TC-012,Req-04,Functional,"The navigation system shall continuously determine the vehicle’s current position while navigation is active.",TC-04-03,Position correct after tunnel exit,"Navigation active; Route includes tunnel/covered area","1) Start navigation. 2) Enter tunnel. 3) Exit tunnel.","System reacquires and corrects position shortly after exit; guidance continues."
NAV-TC-013,Req-05,Functional,"The navigation system shall automatically recalculate the route when the vehicle deviates from the planned route.",TC-05-01,Automatic reroute after wrong turn,"Navigation active; Vehicle moving","1) Start route. 2) Intentionally take a wrong turn/off-route road.","System detects deviation and automatically triggers rerouting to destination."
NAV-TC-014,Req-05,Functional,"The navigation system shall automatically recalculate the route when the vehicle deviates from the planned route.",TC-05-02,Reroute preserves destination and continues guidance,"Navigation active","1) Deviate from route. 2) Observe new route generation.","New route still targets original destination; turn-by-turn guidance updates accordingly."
NAV-TC-015,Req-05,Functional,"The navigation system shall automatically recalculate the route when the vehicle deviates from the planned route.",TC-05-03,No reroute when still on-route,"Navigation active","1) Drive normally on planned route. 2) Observe rerouting behavior.","System does not reroute unnecessarily; planned route remains active."
